LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Three Rivers,E07000102,East of England,14.1,12.7,8.4,8,7.1,6.36,8.1,8.8,7.4,10.69
Thurrock,E06000034,East of England,14.3,10.6,7.5,8.7,7.4,6.76,8.6,9.1,8.7,13.36
Wealden,E07000065,South East,15.2,14.8,7.8,7.4,8,8.53,8.5,8.3,8.5,6.7
Welwyn Hatfield,E07000241,East of England,13.8,11.3,8.7,8.6,8,7.38,9.2,9.9,8.3,12.01
Wiltshire UA,E06000054,South West,12.8,12.7,7.9,10,12.6,11.76,9,9.3,8.2,9.82
Worthing,E07000229,South East,13.1,11.8,7.8,8.3,8.1,9.19,9.3,9,7.9,8.2
Babergh,E07000200,East of England,18.3,17.2,9.1,8.9,10.3,9.62,9.8,9.9,11,13.42
Barnet,E09000003,London,11.3,10.6,9.7,9.7,10.1,9.2,9.7,12.4,11.8,13.23
Barnsley,E08000016,Yorkshire and the Humber,20.3,18.4,9.7,9.2,11.3,11.34,12.2,10.7,9.7,18.64
Bedford,E06000055,East of England,15.1,13.7,9.9,10.1,9.2,8.47,10.1,11.1,10.1,13.92
Breckland,E07000143,East of England,19.5,17.4,8.5,8.5,10.2,9.52,10.3,10,11.3,15.07
"Bristol, City of",E06000023,South West,15,13.6,11.1,13.2,13.6,12.85,10.8,11.7,9.8,13.76
Bromsgrove,E07000234,West Midlands,17.7,14.4,10.9,9.8,9.1,10.58,10,9,8.4,11.67
Broxtowe,E07000172,East Midlands,16.5,16.9,12,9.7,9.1,11.9,11.8,8.6,9.6,12.35
Cannock Chase,E07000192,West Midlands,19,13.9,11.1,10.2,9.1,10.51,12.5,10.8,9.9,16.06
Charnwood,E07000130,East Midlands,15.7,16.3,12.6,9.7,8.9,12.51,10.8,8.8,10.1,11.83
Cheshire East UA,E06000049,North West,18.2,17.1,9.5,8.8,10.1,10.01,10.8,10.5,9.8,10.89
Cheshire West and Chester UA and Chester UA,E06000050,North West,17.7,16.1,9.4,8.9,10,10.14,11.3,10.9,10.6,11.96
Chorley,E07000118,North West,16.8,14.8,8.2,8.2,8.7,9.81,10.6,9.8,10,11.87
Corby,E07000150,East Midlands,16.2,13.6,9.6,8,8.2,11.46,10.5,8.1,8.9,13.84
Cotswold,E07000079,South West,16.4,17.2,9.7,11.1,14.5,13.7,9.2,10.2,9.5,10.12
Dacorum,E09000008,East of England,13.4,11.3,8.8,9.9,9.7,10.04,10.7,11.5,11.2,10.98
Dudley,E07000108,West Midlands,20.9,15.3,9.3,9.5,9.8,10.76,9.9,10.1,10.1,16.93
East Devon,E07000040,South West,17.4,18.2,9.1,11,11.3,10.49,9.6,10.3,9.7,9.47
