"","LAName","LACode","English region","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","x2010","x2011","x2012","x2013","x2014","x2015","x2016","x2017","x2018","x2019","clustering4","clustering5","clustering6","clustering7","clustering8"
"164","Erewash","E07000036","East Midlands",0.18,0.17,12.6,10.4,9.4,13,12.3,9.2,10.3,13.31,7,7,9,7,4,9,8,4,6,6,3,5,6,7,7
"165","Harlow","E07000073","East of England",0.13,0.09,6.4,7.3,7.1,6.44,7.9,8.1,7.5,13.33,4,2,1,2,1,1,2,2,2,6,1,1,1,1,1
"166","Bury","E08000002","North West",0.19,0.16,10.3,10.1,10.4,11.21,11.6,11.7,10.6,13.35,7,6,6,6,6,6,7,8,7,6,3,5,6,7,7
"167","Thurrock","E06000034","East of England",0.14,0.11,7.5,8.7,7.4,6.76,8.6,9.1,8.7,13.36,4,3,2,4,2,1,3,4,3,6,2,2,2,2,2
"168","Babergh","E07000200","East of England",0.18,0.17,9.1,8.9,10.3,9.62,9.8,9.9,11,13.42,7,7,4,4,6,4,4,5,7,6,4,4,5,5,5
"169","Mid Suffolk","E07000203","East of England",0.19,0.18,9.1,8.7,10.9,10.24,9.6,9.3,10.8,13.48,7,8,4,4,7,5,4,4,7,6,4,4,5,5,5
"170","York","E06000014","Yorkshire and the Humber",0.16,0.16,9.1,9,10.7,11.55,10.5,8.9,8.5,13.49,5,6,4,4,7,7,5,3,3,6,4,4,5,5,5
"171","Derbyshire Dales","E06000015","East Midlands",0.24,0.27,16,12.8,10.7,14.44,13.2,10.8,11.6,13.5,10,10,10,9,7,10,9,6,8,6,3,3,4,4,4
"172","North East Derbyshire","E07000038","East Midlands",0.19,0.19,11.9,9,8.7,11.05,11.4,8.4,10.4,13.5,7,9,8,4,3,6,7,3,6,6,4,4,5,5,5
"173","Westminster","E09000033","London",0.1,0.08,8.4,9.9,12.9,9.36,9.3,11.4,11.7,13.56,1,1,4,6,9,4,4,7,8,6,2,2,3,3,3
"174","Stratford-on-Avon","E07000221","West Midlands",0.2,0.17,12.4,10.5,12.1,13.62,10.5,9.6,10.2,13.59,8,7,9,7,8,9,5,5,6,6,3,5,6,7,7
"175","East Cambridgeshire","E07000009","East of England",0.14,0.13,7.2,7.3,8,7.35,8.5,8.3,9.9,13.66,4,4,2,2,2,1,3,3,5,6,2,2,2,2,2
"176","Camden","E09000007","London",0.1,0.09,8.8,9.9,13.1,9.93,8.9,11.7,11.9,13.72,1,2,4,6,9,4,3,8,9,6,2,2,3,3,3
"177","Watford","E07000103","East of England",0.15,0.12,10.3,10.2,8.6,7.98,10.3,10.2,8.5,13.73,5,4,6,6,3,2,5,6,3,6,4,4,5,6,6
"178","Bristol, City of","E06000023","South West",0.15,0.14,11.1,13.2,13.6,12.85,10.8,11.7,9.8,13.76,5,5,7,10,10,9,6,8,5,6,4,4,5,6,6
"179","Sefton","E08000014","North West",0.21,0.19,11.4,10.9,11.2,10.94,12.7,13.1,12.5,13.77,9,9,8,7,7,6,9,9,9,6,3,5,6,7,7
"180","Hillingdon","E09000017","London",0.11,0.1,9.1,9.3,9.1,9.63,10,11.5,10.1,13.83,2,3,4,5,4,4,4,8,6,6,2,2,3,3,3
"181","Corby","E07000150","East Midlands",0.16,0.14,9.6,8,8.2,11.46,10.5,8.1,8.9,13.84,5,5,5,3,3,7,5,2,4,6,2,2,3,3,3
"182","Wirral","E08000015","North West",0.21,0.19,11.2,10.6,10.9,11.18,13.1,13.5,12.2,13.86,9,9,7,7,7,6,9,9,9,6,3,5,6,7,7
"183","Newark and Sherwood","E07000175","East Midlands",0.19,0.2,12.7,9.5,10.1,11.88,11.5,9.1,11.2,13.88,7,9,9,5,6,7,7,4,8,6,3,5,6,7,7
"184","Bedford","E06000055","East of England",0.15,0.14,9.9,10.1,9.2,8.47,10.1,11.1,10.1,13.92,5,5,5,6,4,3,5,7,6,6,4,4,5,5,5
"185","East Riding of Yorkshire","E06000011","Yorkshire and the Humber",0.18,0.18,8.3,8.2,10.1,10.16,9.7,8.5,9.4,13.95,7,8,3,3,6,5,4,3,4,6,4,4,5,5,5
"186","Amber Valley","E07000032","East Midlands",0.19,0.19,13.2,10.3,10.1,12.58,12.4,8.8,10.5,13.96,7,9,9,7,6,8,8,3,6,6,3,5,6,7,7
"187","Darlington","E07000096","North East",0.21,0.19,7.5,7.8,7.3,6.69,8,8.4,7.4,13.98,9,9,2,3,2,1,2,3,2,7,2,2,2,2,2
"188","Halton","E06000006","North West",0.18,0.15,9.2,9.2,9.7,10.77,12.8,11.8,10.9,14.03,7,5,5,5,5,5,9,8,7,7,3,5,6,7,7
"189","Wychavon","E07000238","West Midlands",0.19,0.17,12.1,10.6,11.1,12.7,10.7,9.5,10.3,14.07,7,7,9,7,7,8,6,5,6,7,3,5,6,7,7
"190","Northumberland","E06000057","North East",0.23,0.21,11.8,11.4,13.3,13.08,12.8,11.1,9.8,14.12,10,10,8,8,10,9,9,7,5,7,3,5,6,7,7
"191","St. Helens","E08000013","North West",0.2,0.17,10.1,9.7,10.3,10.9,12.7,12.4,11.3,14.15,8,7,6,5,6,6,9,9,8,7,3,5,6,7,7
"192","Hammersmith and Fulham","E09000013","London",0.11,0.09,9.2,10.3,13.6,10.66,8.4,11.7,11.3,14.16,2,2,5,7,10,5,2,8,8,7,3,5,6,7,7
"193","Hambleton","E07000164","Yorkshire and the Humber",0.19,0.21,9.1,8.6,13.2,10.66,9.4,8.3,9.5,14.17,7,10,5,4,9,5,4,3,5,7,4,4,5,5,5
"194","Tower Hamlets","E09000030","London",0.08,0.06,7.3,7.6,8.1,10.56,9.2,11.2,9.5,14.19,1,1,2,2,3,5,3,7,5,7,2,2,3,3,3
"195","Wigan","E08000010","North West",0.2,0.16,9.4,9.1,9.9,10.94,12.2,11.9,10.8,14.22,8,6,5,5,5,6,8,8,7,7,3,5,6,7,7
"196","Barrow-in-Furness","E07000027","North West",0.21,0.19,13.1,14.4,12.3,13.49,15.3,15.1,14.4,14.27,9,9,9,10,9,9,10,10,10,7,3,3,4,4,4
"197","Stafford","E07000197","West Midlands",0.2,0.16,12.4,11.2,11,12.5,11.5,10.1,9.9,14.27,8,6,9,8,7,8,7,5,5,7,3,5,6,7,7
"198","Eden","E07000030","North West",0.29,0.28,13,11.4,16.4,12.78,11.2,11.9,14.7,14.29,10,10,9,8,10,9,7,8,10,7,3,5,6,7,7
"199","South Holland","E07000140","East Midlands",0.2,0.19,10.5,7.9,8.9,11.63,11.8,7.7,11.6,14.31,8,9,6,3,4,7,7,2,8,7,3,5,6,7,7
"200","Tamworth","E07000199","West Midlands",0.16,0.11,10.1,10.1,9.3,10.76,11.1,9.7,8.8,14.4,6,3,6,6,4,5,6,5,3,7,4,4,5,5,5
"201","West Lindsey","E07000142","East Midlands",0.2,0.22,12.8,9.9,11,12.74,12.2,9.3,12.8,14.4,8,10,9,6,7,8,8,4,10,7,3,5,6,7,7
"202","Redcar and Cleveland","E06000003","North East",0.21,0.19,11.4,12.1,11.8,12.76,14.3,12.1,10.3,14.42,9,9,8,9,8,8,10,8,6,7,3,5,6,7,7
"203","Harrow","E09000015","London",0.11,0.1,11.7,11.3,10.3,11.78,11.8,13.6,11.7,14.48,2,3,8,8,6,7,7,10,8,7,3,5,6,7,7
"204","Lancaster","E07000121","North West",0.21,0.2,12,11.6,11.8,12.76,13,13.6,13.8,14.51,9,9,9,8,8,9,9,10,10,7,3,3,4,4,4
"205","Redditch","E07000236","West Midlands",0.17,0.12,10.4,9.7,9,10.46,10.6,9.3,8.3,14.59,6,4,6,5,4,5,5,4,3,7,4,4,5,5,5
"206","Southwark","E09000028","London",0.09,0.07,6.4,8,8.9,8.75,8.8,9.1,9.9,14.64,1,1,1,3,4,3,3,4,5,7,2,2,3,3,3
"207","Rugby","E07000220","West Midlands",0.2,0.16,12.4,10.9,10.4,11.82,11.1,10.3,9.2,14.65,8,6,9,7,6,7,6,6,4,7,3,5,6,7,7
"208","Tameside","E08000008","North West",0.2,0.16,10.4,9.8,10.2,11.89,11.8,11.8,10.7,14.66,8,6,6,6,6,7,8,8,7,7,3,5,6,7,7
"209","Merton","E09000024","London",0.1,0.08,8.6,9.9,10.6,10.16,9.4,11.1,11.2,14.7,2,1,4,6,6,5,4,7,8,7,2,2,3,3,3
"210","Carlisle","E07000028","North West",0.22,0.2,10.9,10.1,11.9,12.25,12.3,12.1,12,14.72,9,10,7,6,8,8,8,8,9,7,3,5,6,7,7
"211","South Tyneside","E08000023","North East",0.21,0.18,11,11.3,11.8,12.27,13.2,11.2,8.7,14.74,9,8,7,8,8,8,9,7,3,7,3,5,6,7,7
"212","Hartlepool","E06000001","North East",0.2,0.19,11.6,12.2,11.8,12.83,14.7,12.6,10.1,14.75,8,9,8,9,8,9,10,9,6,7,3,5,6,7,7
"213","Bolton","E08000001","North West",0.2,0.16,11.4,11,10.5,12.48,12.9,13.5,11.9,14.76,8,6,8,8,6,8,9,10,9,7,3,5,6,7,7
"214","Islington","E09000019","London",0.1,0.08,7.4,8.6,11.1,9.76,8.4,10.4,11,14.76,2,1,2,4,7,4,2,6,7,7,2,2,3,3,3
"215","Southend-on-Sea","E06000033","East of England",0.19,0.17,9.2,9.8,9,8.36,10.1,11.4,9.3,14.78,7,7,5,6,4,2,5,7,4,7,4,4,5,5,5
"216","Ealing","E09000009","London",0.11,0.09,10.8,11,11.2,11.37,10.5,13.6,12.6,14.84,2,2,7,8,7,6,5,10,9,7,3,5,6,7,7
"217","Rossendale","E07000125","North West",0.21,0.18,10.7,10.3,11.1,12.18,12.2,12.1,11.3,14.84,9,8,7,7,7,7,8,8,8,8,3,5,6,7,7
"218","Chesterfield","E07000034","East Midlands",0.2,0.19,13,10,9.6,12.25,11.9,9.4,10.4,14.91,8,9,9,6,5,8,8,5,6,8,4,4,5,5,5
"219","Cambridge","E07000008","East of England",0.16,0.15,13.2,12.1,11.3,10.7,11.5,12.3,11.1,14.92,6,6,9,9,7,5,7,9,8,8,3,5,6,7,7
"220","Bassetlaw","E07000171","East Midlands",0.2,0.2,12.7,9.7,10.4,11.6,11.4,9.1,11.3,14.93,8,10,9,5,6,7,7,4,8,8,3,5,6,7,7
"221","Breckland","E07000143","East of England",0.2,0.17,8.5,8.5,10.2,9.52,10.3,10,11.3,15.07,8,7,4,4,6,4,5,5,8,8,4,4,5,5,5
"222","Gateshead","E08000037","North East",0.23,0.19,11,10.9,11.2,12.65,12.8,10.8,8.6,15.07,10,9,7,7,7,8,9,6,3,8,3,3,4,4,4
"223","Malvern Hills","E07000235","West Midlands",0.24,0.22,15.2,12.6,14.1,15.55,12.6,11.3,12.2,15.11,10,10,10,9,10,10,9,7,9,8,3,3,4,4,4
"224","Preston","E07000123","North West",0.2,0.17,13,12.9,12.4,13.99,14.1,15.1,13.4,15.11,8,7,9,9,9,10,10,10,10,8,3,3,4,4,4
"225","Ashfield","E07000170","East Midlands",0.19,0.18,12.5,9.5,9.3,11.86,11.8,9.3,10.6,15.21,7,8,9,5,4,7,8,4,7,8,3,5,6,7,7
"226","Peterborough","E06000031","East of England",0.16,0.13,9.6,9.7,8.5,7.75,10.6,11.4,9.5,15.21,6,4,5,5,3,2,6,7,5,8,4,4,5,5,5
"227","Oldham","E08000004","North West",0.2,0.16,11.2,10.7,10.7,12.05,11.8,12.9,11.7,15.22,8,6,7,7,7,7,8,9,9,8,3,5,6,7,7
"228","Sunderland","E08000024","North East",0.21,0.19,11.7,12.4,12.7,13.99,15.3,12.6,9.2,15.26,9,9,8,9,9,10,10,9,4,8,3,3,4,4,4
"229","Tendring","E07000076","East of England",0.22,0.19,8.6,9.4,8,7.38,10.6,11.4,10.9,15.27,9,9,4,5,2,1,6,8,7,8,4,4,5,5,5
"230","East Lindsey","E07000137","East Midlands",0.24,0.25,13.2,10.4,11.5,12.75,12.8,10.1,14.4,15.28,10,10,9,7,8,8,9,5,10,8,3,3,4,4,4
"231","Hounslow","E09000018","London",0.11,0.09,10.5,10.1,10,11.67,10.8,12.7,11.6,15.36,2,2,6,6,5,7,6,9,8,8,3,5,6,7,7
"232","Lincoln","E07000138","East Midlands",0.19,0.19,15.2,11.9,11.6,14.64,13.3,10.6,11,15.36,7,9,10,9,8,10,9,6,8,8,3,3,4,4,4
"233","Craven","E08000026","Yorkshire and the Humber",0.23,0.24,16.3,15.9,13,14.42,15.3,14.7,12.1,15.37,10,10,10,10,9,10,10,10,9,8,3,3,4,4,4
"234","Mansfield","E07000174","East Midlands",0.2,0.2,12.6,9.6,9.3,12.06,12,9.8,10.7,15.38,8,10,9,5,4,7,8,5,7,8,3,5,6,7,7
"235","Redbridge","E09000026","London",0.12,0.1,10.8,11.5,10.6,11.47,11.3,13.7,12.7,15.43,3,3,7,8,6,7,7,10,10,8,3,5,6,7,7
"236","Worcester","E07000237","West Midlands",0.18,0.14,13.1,12.1,10.7,12.11,12.7,11.1,9.9,15.44,7,5,9,9,7,7,9,7,5,8,3,5,6,7,7
"237","Knowsley","E08000011","North West",0.2,0.15,10.2,10.4,10.7,11.06,14.6,13.9,12.7,15.48,8,6,6,7,7,6,10,10,10,8,3,5,6,7,7
"238","Wyre Forest","E07000239","West Midlands",0.2,0.15,13.5,12.2,11.1,12.58,12.5,11.2,10.4,15.5,8,6,10,9,7,8,8,7,6,8,3,5,6,7,7
"239","Durham UA","E08000027","North East",0.22,0.2,14.3,12.8,10.4,11.84,13.3,11.7,10.6,15.52,9,10,10,9,6,7,9,8,7,8,3,3,4,4,4
"240","Hyndburn","E07000120","North West",0.22,0.19,13.2,14,13,14.42,14.1,15.4,13.1,15.56,9,9,9,10,9,10,10,10,10,8,3,3,4,4,4
"241","Telford and Wrekin","E06000020","West Midlands",0.17,0.13,11,10.8,10.1,11.65,12.1,11,9.4,15.56,6,4,7,7,6,7,8,7,4,8,3,5,6,7,7
"242","Derby","E07000151","East Midlands",0.19,0.19,10.6,8.5,10.6,10.61,9.6,7.4,10.2,15.58,7,9,6,4,6,5,4,1,6,8,4,4,5,5,5
"243","Salford","E08000006","North West",0.21,0.16,10.7,9.9,10.8,11.43,12.3,12.8,11.2,15.61,9,6,7,6,7,6,8,9,8,8,3,5,6,7,7
"244","Copeland","E07000029","North West",0.22,0.19,10.5,9.8,11.2,10.9,12.1,11.7,13.6,15.71,9,9,6,6,7,6,8,8,10,8,3,5,6,7,7
"245","Rochdale","E08000005","North West",0.2,0.16,11.5,11.3,11.4,12.35,12.8,13.6,12.2,15.73,8,6,8,8,8,8,9,10,9,8,3,5,6,7,7
"246","Lambeth","E09000022","London",0.11,0.08,7.5,9.2,10.8,10.05,8.9,10.3,11.2,15.78,2,1,2,5,7,4,3,6,8,8,2,2,3,3,3
"247","North Norfolk","E07000147","East of England",0.24,0.22,11.2,10.4,12,11.25,11.1,11.6,13.5,15.78,10,10,7,7,8,6,6,8,10,9,3,3,4,4,4
"248","Fenland","E07000010","East of England",0.19,0.16,8.2,7.9,7.5,6.96,10.8,10.1,10.8,15.81,7,6,3,3,2,1,6,6,7,9,3,5,6,7,7
"249","Luton","E06000032","East of England",0.17,0.14,13.4,13.4,9.6,8.89,11.8,13.9,11.6,16.05,6,5,9,10,5,3,8,10,8,9,3,5,6,7,7
"250","Nuneaton and Bedworth","E07000219","West Midlands",0.2,0.14,11.9,11.1,9.8,11.25,12,10.8,9.6,16.05,8,5,8,8,5,6,8,6,5,9,4,4,5,6,6
"251","Cannock Chase","E07000192","West Midlands",0.19,0.14,11.1,10.2,9.1,10.51,12.5,10.8,9.9,16.06,8,5,7,6,4,5,9,6,5,9,4,4,5,6,6
"252","North Lincolnshire","E06000013","Yorkshire and the Humber",0.19,0.17,8.6,8.2,10.2,10.85,11.1,9.1,9.8,16.09,8,7,4,3,6,6,7,4,5,9,4,4,5,5,5
"253","Ryedale","E07000167","Yorkshire and the Humber",0.25,0.26,11.9,10.6,15.9,13.31,11.2,10,11.7,16.13,10,10,8,7,10,9,7,5,9,9,3,5,6,7,7
"254","Allerdale","E07000026","North West",0.24,0.22,11.3,10.5,12.7,11.35,12.3,11.9,13.8,16.14,10,10,7,7,9,6,8,8,10,9,3,3,4,4,4
"255","Staffordshire Moorlands","E07000198","West Midlands",0.25,0.19,13.5,12.1,11.5,12.95,12.4,10.8,11.4,16.16,10,9,10,9,8,9,8,7,8,9,3,3,4,4,4
"256","North Warwickshire","E07000218","West Midlands",0.2,0.15,11.8,10.7,10.3,11.87,11.2,9.8,10.6,16.22,8,6,8,7,6,7,7,5,7,9,3,5,6,7,7
"257","Bolsover","E07000033","East Midlands",0.21,0.2,12.4,9.8,9.9,11.62,11.7,9.3,10.8,16.24,9,10,9,6,5,7,7,4,7,9,3,5,6,7,7
"258","Richmondshire","E07000166","Yorkshire and the Humber",0.24,0.24,10.7,9.6,15.2,12.28,9.5,9,10.4,16.25,10,10,7,5,10,8,4,4,6,9,3,3,4,4,4
"259","Blackpool","E06000009","North West",0.24,0.21,13.5,14.1,13.2,13.45,15.9,17.5,15.2,16.26,10,10,10,10,9,9,10,10,10,9,3,3,4,4,4
"260","Boston","E07000136","East Midlands",0.23,0.22,13.2,10.5,11.4,13.89,13.7,9.9,12,16.37,10,10,9,7,8,9,10,5,9,9,3,3,4,4,4
"261","Newcastle upon Tyne","E08000021","North East",0.21,0.19,13.4,13,13.3,14.82,14.4,13,10.6,16.37,9,9,10,9,10,10,10,9,7,9,3,3,4,4,4
"262","Enfield","E09000010","London",0.12,0.1,8.8,10.6,10.6,9.29,11.3,12.6,12.7,16.39,3,3,4,7,6,3,7,9,10,9,3,5,6,7,7
"263","Great Yarmouth","E07000145","East of England",0.21,0.18,10.7,11.3,10.5,9.83,12.8,13.2,12.7,16.39,9,8,7,8,6,4,9,9,10,9,3,5,6,7,7
"264","Blackburn with Darwen","E06000008","North West",0.21,0.18,14,13.6,12.4,13.96,14.4,16.5,14.6,16.4,9,8,10,10,9,9,10,10,10,9,3,3,4,4,4
"265","Burnley","E07000117","North West",0.22,0.19,13.5,14.2,13.5,14.65,15.1,16.4,13.6,16.4,9,9,10,10,10,10,10,10,10,9,3,3,4,4,8
"266","Croydon","E07000226","London",0.11,0.1,5.8,6.7,6.8,8.46,7.7,6.9,6.6,16.43,2,3,1,1,1,3,1,1,1,9,1,1,1,1,1
"267","Hackney","E09000012","London",0.11,0.09,8.1,9.4,10.5,9.82,10.2,11.9,12.2,16.47,2,2,3,5,6,4,5,8,9,9,2,2,3,3,3
"268","Shropshire UA","E06000051","West Midlands",0.25,0.21,15.4,13.2,14.6,16.02,13.1,11.8,12.3,16.48,10,10,10,10,10,10,9,8,9,9,3,3,4,4,8
"269","Middlesbrough","E06000002","North East",0.23,0.21,15.1,15.4,14.3,15.61,17,15.4,11.9,16.52,10,10,10,10,10,10,10,10,9,9,3,3,4,4,8
"270","Herefordshire, County of","E06000019","West Midlands",0.27,0.24,16.4,14.1,15.1,16.65,13.5,12.2,12.9,16.54,10,10,10,10,10,10,9,9,10,9,3,3,4,4,8
"271","Greenwich","E09000011","London",0.11,0.09,8.3,9.2,9.9,9.2,10,11.3,11.1,16.66,2,2,3,5,5,3,5,7,8,9,2,2,3,3,3
"272","Calderdale","E08000033","Yorkshire and the Humber",0.2,0.19,11.6,11.7,12.2,13.55,12.2,10.7,10.2,16.7,8,9,8,8,8,9,8,6,6,9,3,5,6,7,7
"273","North East Lincolnshire","E06000012","Yorkshire and the Humber",0.2,0.18,10.1,10.8,12.3,12.22,12.9,11.5,10.1,16.7,8,8,6,7,9,7,9,8,6,9,3,5,6,7,7
"274","East Staffordshire","E07000193","West Midlands",0.22,0.17,14.6,13.9,12.3,13.79,14,12.6,11.2,16.76,9,7,10,10,9,9,10,9,8,9,3,3,4,4,4
"275","Scarborough","E07000168","Yorkshire and the Humber",0.23,0.23,12.1,11.7,13.8,12.34,12.1,11.6,12.1,16.76,10,10,9,8,10,8,8,8,9,9,3,3,4,4,4
"276","Kirklees","E08000034","Yorkshire and the Humber",0.19,0.18,12,11.8,11.6,13.97,13.1,11.4,10.6,16.81,8,8,9,9,8,10,9,8,7,9,3,5,6,7,7
"277","Leeds","E08000035","Yorkshire and the Humber",0.17,0.16,11.6,11.6,11.9,13.5,13.1,11.1,10.3,16.82,6,6,8,8,8,9,9,7,6,10,3,5,6,7,7
"278","Dudley","E07000108","West Midlands",0.21,0.15,9.3,9.5,9.8,10.76,9.9,10.1,10.1,16.93,9,6,5,5,5,5,4,6,6,10,4,4,5,5,5
"279","King's Lynn and West Norfolk","E07000146","East of England",0.21,0.19,9.2,8.8,10.8,10.1,11,10.7,12.2,16.96,9,9,5,4,7,5,6,6,9,10,4,4,5,5,5
"280","Rotherham","E08000018","Yorkshire and the Humber",0.18,0.17,9.8,9,10.5,10.63,11.4,10.1,9.5,17.05,7,7,5,4,6,5,7,6,5,10,4,4,5,5,5
"281","Pendle","E07000122","North West",0.24,0.21,15,15.7,14,15.82,15.8,17.3,15.2,17.28,10,10,10,10,10,10,10,10,10,10,3,3,4,4,8
"282","Brent","E09000005","London",0.12,0.1,11.6,12,11.7,13.1,12.9,14.9,13.7,17.29,3,3,8,9,8,9,9,10,10,10,3,3,4,4,4
"283","Ipswich","E07000202","East of England",0.19,0.15,11.8,11.5,9.5,8.86,12.1,12.8,10.6,17.34,8,6,8,8,5,3,8,9,7,10,3,5,6,7,7
"284","Wakefield","E08000036","Yorkshire and the Humber",0.19,0.17,9.3,8.6,10.2,10.93,11.2,9.5,8.8,17.34,8,7,5,4,6,6,7,5,3,10,4,4,5,5,5
"285","Sheffield","E08000019","Yorkshire and the Humber",0.18,0.18,11.3,10.9,12.4,12.32,12.2,10.7,10.4,17.46,7,8,7,7,9,8,8,6,6,10,3,5,6,7,7
"286","Doncaster","E07000035","Yorkshire and the Humber",0.2,0.18,15.6,11.3,12.2,12.41,10.9,8.9,12.6,17.78,9,8,10,8,8,8,6,4,9,10,3,5,6,7,7
"287","Newcastle-under-Lyme","E07000195","West Midlands",0.22,0.17,13.4,12.1,11.3,12.78,12.9,11.3,10.9,18.04,10,8,10,9,7,9,9,7,7,10,3,5,6,7,7
"288","Liverpool","E08000012","North West",0.23,0.19,14.4,14.5,14.3,14.34,17,17.6,15.6,18.14,10,9,10,10,10,10,10,10,10,10,3,3,4,4,8
"289","Lewisham","E09000023","London",0.11,0.09,8,10,10.5,10.2,10.7,10.9,12.1,18.23,2,2,3,6,6,5,6,7,9,10,3,5,6,7,7
"290","Haringey","E09000014","London",0.12,0.1,10.1,11.9,13.3,12.57,12.6,14.5,14.4,18.25,3,3,6,9,10,8,9,10,10,10,3,3,4,4,4
"291","Bradford","E08000032","Yorkshire and the Humber",0.19,0.18,14.2,14.1,13.2,15.04,14.3,13.5,12.4,18.35,8,8,10,10,9,10,10,10,9,10,3,3,4,4,4
"292","Nottingham","E06000018","East Midlands",0.22,0.21,18.4,14,12.6,15.83,14.6,12.6,13.9,18.49,10,10,10,10,9,10,10,9,10,10,3,3,4,4,4
"293","Barnsley","E08000016","Yorkshire and the Humber",0.2,0.18,9.7,9.2,11.3,11.34,12.2,10.7,9.7,18.64,9,8,5,5,7,6,8,6,5,10,4,4,5,6,6
"294","Norwich","E07000148","East of England",0.18,0.14,12.2,11.5,10.5,9.88,12.3,12.9,11.1,18.74,7,5,9,8,6,4,8,9,8,10,3,5,6,7,7
"295","Coventry","E06000047","West Midlands",0.21,0.16,11.4,11.5,12.2,13.33,14,11.8,9.8,18.78,9,6,8,8,9,9,10,8,5,10,3,5,6,7,7
"296","Leicester","E06000016","East Midlands",0.21,0.2,21.3,16.6,13.5,18.19,15.2,13.9,14.6,18.98,9,10,10,10,10,10,10,10,10,10,3,3,4,4,8
"297","Walsall","E08000030","West Midlands",0.23,0.17,16.2,14.3,11.7,13.18,14.4,13.7,11.8,19.35,10,8,10,10,8,9,10,10,9,10,3,3,4,4,4
"298","Kingston upon Hull, City of","E06000010","Yorkshire and the Humber",0.18,0.16,11.1,11.7,13.2,13.81,13.8,12,10.6,19.57,7,7,7,9,9,9,10,8,7,10,3,3,4,4,4
"299","Manchester","E08000003","North West",0.22,0.18,15.9,14.9,14.5,15.29,16.2,17.9,15.5,19.84,10,8,10,10,10,10,10,10,10,10,3,3,4,4,8
"300","Sandwell","E08000028","West Midlands",0.24,0.18,18,16.4,12.8,14.3,16.9,15.2,12,20.95,10,8,10,10,9,10,10,10,9,10,3,3,4,4,4
"301","Waltham Forest","E09000031","London",0.13,0.1,11,12.1,12.1,13.22,13.5,14.6,14.2,21.06,4,3,7,9,8,9,9,10,10,10,3,3,4,4,4
"302","Wolverhampton","E08000031","West Midlands",0.24,0.18,18.3,16.3,13.1,14.58,15.2,14.4,12.7,21.13,10,8,10,10,9,10,10,10,10,10,3,3,4,4,4
"303","Birmingham","E08000025","West Midlands",0.23,0.18,20.1,18.9,14.1,15.57,16.8,16.2,14.2,21.16,10,8,10,10,10,10,10,10,10,10,3,3,4,4,8
"304","Newham","E09000025","London",0.12,0.1,13.8,14.9,13.6,15.66,15.3,19.1,16.1,21.71,3,3,10,10,10,10,10,10,10,10,3,3,4,4,8
"305","Stoke-on-Trent","E06000021","West Midlands",0.25,0.18,16.1,14.7,12.5,14.02,15.4,14.7,12.4,21.82,10,8,10,10,9,10,10,10,9,10,3,3,4,4,4
"306","Barking and Dagenham","E09000002","London",0.14,0.1,10.1,11.1,10.6,10.03,11.6,13.2,12.3,22.47,4,3,6,8,6,4,7,9,9,10,3,5,6,7,7
