"","LAName","LACode","English region","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","x2010","x2011","x2012","x2013","x2014","x2015","x2016","x2017","x2018","x2019","clustering4","clustering5","clustering6","clustering7","clustering8"
"45","Adur","E07000223","South East",0.14,0.11,6.8,7.3,6.8,8.63,8.5,8.5,7.7,7.77,4,3,2,2,1,3,2,3,2,2,2,2,2,2,2
"46","South Gloucestershire","E06000025","South West",0.11,0.1,6.7,9.1,9.5,8.76,7.5,8.2,6.7,7.97,2,2,1,4,4,3,1,2,1,2,1,1,1,1,1
"47","Tunbridge Wells","E07000116","South East",0.13,0.13,9.2,8.6,9.8,9.7,9.5,9,8.5,8.14,3,4,5,4,5,4,4,4,3,2,2,2,2,2,2
"48","Worthing","E07000229","South East",0.13,0.12,7.8,8.3,8.1,9.19,9.3,9,7.9,8.2,3,4,3,3,2,3,3,4,2,2,2,2,2,2,2
"49","Tewkesbury","E07000083","South West",0.13,0.13,7.5,9.1,9.4,8.52,8.4,8.8,7.4,8.38,3,4,2,4,4,3,2,3,2,2,2,2,2,2,2
"50","Eastbourne","E07000061","South East",0.13,0.11,7.9,8.5,8.6,9.52,9.4,9.7,8.5,8.47,3,3,3,3,3,4,4,5,3,2,2,2,2,2,2
"51","Rother","E07000064","South East",0.18,0.17,8.8,8.9,9,9.36,9.9,9.8,10.6,8.63,6,7,4,4,4,4,4,5,7,2,4,4,5,5,5
"52","Canterbury","E07000106","South East",0.14,0.13,8.9,9.4,9.3,10.92,10.6,10.6,10.1,8.72,4,4,4,5,4,6,5,6,6,2,4,4,5,5,5
"53","Isle of Wight","E06000046","South East",0.16,0.15,9.5,10,8.9,10.58,11.3,11,11.2,8.87,5,5,5,6,4,5,7,7,8,2,4,4,5,5,5
"54","Medway","E06000035","South East",0.12,0.1,8.6,9.8,9.2,11.46,10.1,10.3,9,8.9,3,2,4,5,4,7,5,6,4,2,2,2,2,2,2
"55","Swale","E07000113","South East",0.13,0.11,8.3,8.8,8.7,10.28,10,9.8,9.2,9.09,3,3,3,4,3,5,4,5,4,2,2,2,2,2,2
"56","St. Albans","E07000240","East of England",0.13,0.13,8,7.9,7.2,6.59,7.8,8.3,6.9,9.29,3,4,3,3,1,1,1,3,1,2,1,1,1,1,1
"57","Slough","E06000039","South East",0.1,0.08,10,10.1,8.2,12.7,11,10.1,8.9,9.33,1,1,6,6,3,8,6,5,3,2,2,2,3,3,3
