LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Plymouth,E06000026,South West,0.14,0.13,10.3,13.4,12.8,12.03,11.8,13,10.3,12.35
Kingston upon Thames,E09000021,London,0.1,0.09,8.9,9.4,10,9.37,9.3,10.9,10.4,12.39
South Staffordshire,E07000196,West Midlands,0.18,0.14,10.5,9.9,9.2,10.73,10.4,9.2,9.2,12.43
Melton,E07000133,East Midlands,0.17,0.18,12.3,9.5,11,12.82,11,8.3,10.6,12.46
Solihull,E08000029,West Midlands,0.18,0.14,10.7,10.1,9.1,10.57,9.8,9.2,8.2,12.48
East Northamptonshire,E07000152,East Midlands,0.15,0.16,11,8.8,9.6,11.66,10.3,7.8,9.9,12.52
Lichfield,E07000194,West Midlands,0.17,0.14,10.9,9.8,9.5,10.95,10.8,9.4,9.1,12.52
Northampton,E07000154,East Midlands,0.16,0.15,11.8,10.3,9.4,12.88,10.8,8.5,8.7,12.57
Forest of Dean,E07000080,South West,0.19,0.18,9.5,11.6,14.1,13.32,10.8,10.9,11.7,12.74
Trafford,E08000009,North West,0.19,0.17,11.1,10,10.4,9.88,11.1,11.4,10.4,12.79
Colchester,E07000071,East of England,0.14,0.13,8.3,8.4,7.8,7.12,9.5,10.1,9.4,12.8
Kettering,E07000153,East Midlands,0.17,0.17,11.9,9.5,9.4,12.43,10.8,8.5,9.5,12.82
Bexley,E09000004,London,0.12,0.1,7.6,8.2,8.5,7.64,8.2,9.8,9,12.84
North West Leicestershire,E07000134,East Midlands,0.17,0.17,11.5,9,10,11.31,10.7,7.9,9.8,12.84
Kensington and Chelsea,E09000020,London,0.1,0.1,8.8,10.7,14.3,8.72,8.7,11.7,12.4,12.86
Sutton,E09000029,London,0.1,0.09,7.4,7.7,8.1,7.53,8.6,9.1,8.4,12.86
Harrogate,E07000165,Yorkshire and the Humber,0.17,0.18,9.1,8.6,11.7,10.39,9.4,8.2,8.3,12.87
North Tyneside,E08000022,North East,0.19,0.17,9.7,9.9,9.9,11.13,11.2,9.3,7.6,12.91
Stockton-on-Tees,E06000004,North East,0.18,0.17,10.3,11.1,10.7,12.34,13.4,11.3,9,12.97
Warwick,E07000222,West Midlands,0.17,0.14,11.6,11.1,10.8,12.34,10.8,10,8.6,13.02
Braintree,E07000067,East of England,0.15,0.13,8.1,8.2,8.4,7.71,8.8,9,9.3,13.07
West Lancashire,E07000127,North West,0.19,0.17,9,8.6,10,9.81,11,10.7,11.5,13.12
High Peak,E07000037,East Midlands,0.18,0.19,13.3,10.5,10.5,12.42,10.6,8.5,10.5,13.14
Wandsworth,E09000032,London,0.09,0.07,7,8.3,10.7,9.84,7.2,9.8,10.1,13.15
Havering,E09000016,London,0.13,0.1,6.9,7.5,8.4,7.81,8,9.9,9,13.16
